epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.815,2.06229,3.2415,1.35827,0.02205,0.58904,0.09834,0.04476,1.71977,3.14513,1.11972,0.00026,0.00026,0.00026
2,305.136,1.8232,1.6064,1.13232,0.01538,0.41096,0.16103,0.08259,1.6788,3.15678,1.18632,0.000529308,0.000529308,0.000529308
3,449.07,1.70504,1.296,1.12872,0.93733,0.2049,0.39239,0.19869,1.73047,2.60603,1.14823,0.000787528,0.000787528,0.000787528
4,592.865,1.65646,1.15948,1.07563,0.99655,0.21233,0.39199,0.18937,1.72143,2.60836,1.17233,0.00103466,0.00103466,0.00103466
